,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,92,1533776961,99,4.89,-1.75,76.02,8.75
1,0,1533776961,94,30.78,31.0,70.3,2.82
2,0,1533776961,80,51.2,49.73,59.91,9.86
3,20,1533774600,87,53.25,50.49,55.4,13.42
4,92,1533776961,99,4.89,-1.75,76.02,8.75
5,12,1533776962,77,73.51,80.55,50.73,19.37
6,8,1533776962,67,-46.43,-67.52,45.69,14.12
7,0,1533776962,45,28.42,30.79,77.28,10.87
8,48,1533776962,89,53.68,53.66,54.96,12.44
9,12,1533776962,77,73.51,80.55,50.73,19.37
10,92,1533776963,100,-7.93,-14.42,76.83,19.48
11,8,1533776963,100,4.42,-7.36,77.86,11.32
12,92,1533776963,100,66.83,70.83,48.21,23.51
13,0,1533776961,80,51.2,49.73,59.91,9.86
14,75,1533772800,60,-54.81,-68.31,41.0,17.22
15,75,1533772800,60,-54.81,-68.31,41.0,17.22
16,92,1533776963,100,-7.93,-14.42,76.83,19.48
17,8,1533776962,67,-46.43,-67.52,45.69,14.12
18,12,1533776962,77,73.51,80.55,50.73,19.37
19,32,1533776964,82,60.87,60.43,48.25,6.62
20,92,1533776964,99,-21.64,-41.05,73.36,13.67
21,92,1533776964,100,56.88,56.58,56.22,10.76
22,92,1533776963,100,-7.93,-14.42,76.83,19.48
23,8,1533776964,89,14.12,15.31,74.22,8.63
24,75,1533772800,88,-22.97,-42.02,69.8,12.75
25,75,1533772800,60,-54.81,-68.31,41.0,17.22
26,75,1533772800,60,-54.81,-68.31,41.0,17.22
27,0,1533772800,69,35.36,35.93,78.8,5.82
28,40,1533776400,78,-3.71,-38.6,78.8,9.17
29,75,1533772800,88,-22.97,-42.02,69.8,12.75
30,12,1533776962,77,73.51,80.55,50.73,19.37
31,75,1533772800,60,-54.81,-68.31,41.0,17.22
32,0,1533772200,44,37.03,36.63,78.8,17.22
33,20,1533772800,94,5.79,0.9,75.2,12.75
34,75,1533772800,60,-54.81,-68.31,41.0,17.22
35,12,1533776962,77,73.51,80.55,50.73,19.37
36,75,1533772800,60,-54.81,-68.31,41.0,17.22
37,75,1533772800,60,-54.81,-68.31,41.0,17.22
38,48,1533776966,95,54.57,54.53,55.18,13.11
39,0,1533776962,45,28.42,30.79,77.28,10.87
40,8,1533776964,89,14.12,15.31,74.22,8.63
41,92,1533776961,99,4.89,-1.75,76.02,8.75
42,12,1533776962,77,73.51,80.55,50.73,19.37
43,0,1533772800,82,57.46,28.17,57.2,4.47
44,75,1533772800,60,-54.81,-68.31,41.0,17.22
45,0,1533772200,44,37.03,36.63,78.8,17.22
46,75,1533772800,60,-54.81,-68.31,41.0,17.22
47,75,1533772800,60,-54.81,-68.31,41.0,17.22
48,75,1533772800,60,-54.81,-68.31,41.0,17.22
49,76,1533776967,99,-17.73,-39.27,76.33,10.76
50,92,1533776967,95,-30.17,-50.22,62.38,4.83
51,40,1533772800,78,31.42,31.81,80.6,8.05
52,12,1533776962,77,73.51,80.55,50.73,19.37
53,20,1533772200,58,36.22,36.17,84.2,9.17
54,88,1533776877,95,-33.69,-53.46,53.56,11.54
55,75,1533772800,60,-54.81,-68.31,41.0,17.22
56,75,1533772800,88,-22.97,-42.02,69.8,12.75
57,75,1533772800,60,-54.81,-68.31,41.0,17.22
58,75,1533772800,60,-54.81,-68.31,41.0,17.22
